category,slug,location,platform,tier,tierLabel,n,medianViews,top10Views,top1Views,medianEngagementPct,medianViewsPerFollower,windowStart,windowEnd,reportable
Boxed Meal Kits,boxed-meal-kits,US,instagram,nano,under 10k,151,1788,23757,851561,1.3,0.5,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,instagram,micro,10k to 100k,178,5563,57406,825600,0.51,0.21,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,instagram,mid,100k to 500k,75,41077,128750,455185,0.34,0.16,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,instagram,macro,500k to 1M,23,103302,230237,1096530,0.35,0.17,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,instagram,mega,over 1M,11,154630,2111911,8110078,0.42,0.13,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,tiktok,nano,under 10k,2,5237,8331,9027,4.17,0.89,2026-02-20,2026-05-15,False
Boxed Meal Kits,boxed-meal-kits,US,tiktok,micro,10k to 100k,5,541,1064,1372,0.19,0.03,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,tiktok,mid,100k to 500k,11,13700,334800,1113480,0.37,0.1,2026-02-20,2026-05-15,True
Boxed Meal Kits,boxed-meal-kits,US,tiktok,macro,500k to 1M,1,2800000,2800000,2800000,30.03,3.21,2026-02-20,2026-05-15,False
Boxed Meal Kits,boxed-meal-kits,US,tiktok,mega,over 1M,3,16300,19020,19632,0.0,0.0,2026-02-20,2026-05-15,False
DTC Beauty-Tech,dtc-beauty-tech,US,instagram,nano,under 10k,102,30335,303008,1191194,8.88,7.32,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,instagram,micro,10k to 100k,602,25485,150226,1213399,0.98,0.75,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,instagram,mid,100k to 500k,598,48745,361285,2290978,0.48,0.25,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,instagram,macro,500k to 1M,105,103663,555953,7446580,0.29,0.14,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,instagram,mega,over 1M,93,212002,781533,1345437,0.13,0.13,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,tiktok,nano,under 10k,16,1150,2607,5592,1.53,0.19,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,tiktok,micro,10k to 100k,47,1864,11599,412543,0.26,0.06,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,tiktok,mid,100k to 500k,18,9276,70670,274792,0.2,0.06,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,tiktok,macro,500k to 1M,14,30200,107870,971572,0.6,0.05,2026-03-07,2026-05-16,True
DTC Beauty-Tech,dtc-beauty-tech,US,tiktok,mega,over 1M,6,78750,132000,144150,0.1,0.01,2026-03-07,2026-05-16,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,instagram,nano,under 10k,430,1313,5440,54839,0.93,0.38,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,instagram,micro,10k to 100k,551,3819,28504,231599,0.28,0.15,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,instagram,mid,100k to 500k,289,28050,138315,745839,0.3,0.14,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,instagram,macro,500k to 1M,44,64851,359416,1780952,0.22,0.09,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,instagram,mega,over 1M,31,242682,529820,1249142,0.11,0.1,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,tiktok,nano,under 10k,18,738,6458,2076937,0.95,0.16,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,tiktok,micro,10k to 100k,18,1022,5221,2574276,0.2,0.03,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,tiktok,mid,100k to 500k,10,25600,135539,637254,1.1,0.13,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,tiktok,macro,500k to 1M,6,12330,24250,24745,0.12,0.01,2026-03-07,2026-05-15,True
DTC Supplements & Wellness,dtc-supplements-wellness,US,tiktok,mega,over 1M,1,63800,63800,63800,0.32,0.06,2026-03-07,2026-05-15,False
Creator & Fashion Apps,fashion-app-brands,Global,instagram,nano,under 10k,410,801,3736,155891,1.78,0.23,2026-02-20,2026-05-15,True
Creator & Fashion Apps,fashion-app-brands,Global,instagram,micro,10k to 100k,262,3601,46747,373201,0.57,0.17,2026-02-20,2026-05-15,True
Creator & Fashion Apps,fashion-app-brands,Global,instagram,mid,100k to 500k,90,42306,359164,1962405,0.56,0.23,2026-02-20,2026-05-15,True
Creator & Fashion Apps,fashion-app-brands,Global,instagram,macro,500k to 1M,9,34365,200043,676264,0.04,0.04,2026-02-20,2026-05-15,True
Creator & Fashion Apps,fashion-app-brands,Global,instagram,mega,over 1M,9,375941,2677348,2759924,0.29,0.22,2026-02-20,2026-05-15,True
Creator & Fashion Apps,fashion-app-brands,Global,tiktok,micro,10k to 100k,1,1407,1407,1407,0.19,0.03,2026-02-20,2026-05-15,False
Creator & Fashion Apps,fashion-app-brands,Global,tiktok,mid,100k to 500k,1,81400,81400,81400,1.37,0.22,2026-02-20,2026-05-15,False
Functional Beverages,functional-beverages,US,instagram,nano,under 10k,111,61523,317354,2121013,31.82,14.97,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,instagram,micro,10k to 100k,427,52233,387758,2254200,4.24,1.6,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,instagram,mid,100k to 500k,634,70269,312260,2108281,0.76,0.3,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,instagram,macro,500k to 1M,161,130548,469023,4548131,0.44,0.2,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,instagram,mega,over 1M,167,265842,2097119,13194402,0.32,0.16,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,tiktok,nano,under 10k,49,840,4469,66863,2.07,0.19,2026-03-06,2026-05-16,True
Functional Beverages,functional-beverages,US,tiktok,micro,10k to 100k,99,1144,9844,447007,0.6,0.06,2026-03-06,2026-05-16,True
