value,n,share,nWithViews,medianViews,liftVsMedian,reportable
Day In The Life,137,34.2,136,26400,0.87,True
Recipe or Process,60,15.0,58,42301,1.4,True
Other,51,12.8,25,14962,0.49,True
Skit or POV,35,8.8,35,25912,0.86,True
Taste Test or Review,29,7.2,29,18800,0.62,True
Haul,16,4.0,14,46950,1.55,True
Talking Head,16,4.0,16,102351,3.38,True
ASMR,12,3.0,12,11700,0.39,True
Tutorial or How-To,11,2.8,11,70500,2.33,True
Unboxing,9,2.2,8,8750,0.29,True
Before-After,7,1.8,6,30420,1.01,True
GRWM,7,1.8,7,83091,2.75,True
Meme or Text,4,1.0,3,,,False
Photo Dump or Carousel,4,1.0,1,,,False
Product Showcase or Montage,1,0.2,1,,,False
Street Interview,1,0.2,1,,,False
