rank,name,handle,subType,igFollowers,ttFollowers,creatorPosts,creatorPostsIg,creatorPostsTt,creatorViews,uniqueCreators,viewsPerPost,engagementPerPost,viewsPerFollower,adsLive,adsOver30d,adsOver60d,pctVideoAds,pctUgcAds,band,shareOfCategoryViews
1,Legion,legion,,288271,74300,151,77,74,13697297,75,90710,1295,2.01,252,98,0,56.9,,top 10%,16.32
2,Alani Nu,alaninutrition,,1493527,1000000,500,295,205,12550615,330,25101,3219,0.35,0,0,0,,,top 10%,14.95
3,Garden of Life,gardenoflife,,209555,,4,4,0,7029192,4,1757298,939,10.34,3,10,0,46.2,0.0,top 10%,8.37
4,Quest Nutrition,questnutrition,,1137177,501900,71,46,25,4879096,61,68719,1137,0.41,48,0,0,72.4,,top 10%,5.81
5,TRU Bar,trubar.brands,,90877,,26,26,0,4854573,22,186714,2561,2.58,5,2,0,33.3,,top 10%,5.78
6,fairlife,fairlife,,,,99,99,0,4310729,80,43542,1157,0.68,0,0,0,,,top 10%,5.14
7,Muscle Milk,musclemilk,,,2739,5,2,3,3846803,4,769360,9641,0.79,55,0,0,96.1,,top 10%,4.58
8,Myprotein,myprotein,,1202719,696000,152,84,68,3618927,86,23808,840,0.34,179,106,86,39.0,0.0,top 10%,4.31
9,Everyday Dose,everydaydose,,335674,21400,27,20,7,2749525,21,101834,3396,0.56,25,16,8,76.7,,top 10%,3.28
10,Humantra,humantra,,202674,8640,39,36,3,2679958,32,68716,461,0.78,465,172,55,29.9,,top 25%,3.19
11,Protein Works,proteinworks,,264902,106900,74,58,16,2419185,30,32691,253,2.5,230,360,205,14.9,,top 25%,2.88
12,David Protein,davidprotein,,116676,27600,63,55,8,1742081,44,27652,3191,0.94,30,46,40,40.0,,top 25%,2.08
13,Jocko Fuel,jockofuel,,258321,127300,41,37,4,1608553,22,39233,3625,0.5,0,0,0,,,top 25%,1.92
14,Clean Simple Eats,cleansimpleeats,,587391,146600,55,43,12,1428724,42,25976,1032,0.27,0,0,0,,,top 25%,1.7
15,Slate,slatemilk,,,18900,55,51,4,1087289,49,19768,1666,0.36,11,7,5,70.0,100.0,top 25%,1.3
16,Orgain,drinkorgain,,241144,,53,53,0,1070773,45,20203,2163,0.39,20,23,3,60.0,100.0,top 25%,1.28
17,Ghost,ghostlifestyle,,552902,174800,77,46,31,1069796,43,13893,822,0.18,0,0,0,,,top 25%,1.27
18,Transparent Labs,transparentlabs,,215780,,39,39,0,885237,23,22698,1047,0.18,0,0,0,,,top 25%,1.05
19,Premier Protein,premierprotein,,240278,182400,38,30,8,780464,33,20538,868,0.12,17,16,5,42.9,0.0,top 25%,0.93
20,RXBAR,rxbar,,241138,41300,19,15,4,770374,18,40546,1246,0.25,33,40,0,100.0,,top 25%,0.92
21,Lucky Energy,luckyenergyofficial,,84689,,22,22,0,680866,18,30948,289,0.11,28,0,0,60.6,,top 25%,0.81
22,Free Soul,freesoul,,245569,143800,118,99,19,633860,71,5371,466,0.38,0,0,0,,,top 25%,0.76
23,Fairlife Core Power,corepower,,57033,,12,12,0,615369,10,51280,728,0.54,25,0,0,100.0,,top 25%,0.73
24,Bucked Up,buckedup,,719830,,23,23,0,584313,14,25404,396,0.37,59,17,9,26.9,0.0,top 25%,0.7
25,Optimum Nutrition,optimumnutrition,,661452,,12,12,0,583409,10,48617,1079,0.55,0,0,0,,,top half,0.7
26,GoMacro,gomacro,,185164,14600,27,25,2,539609,23,19985,1127,0.33,0,0,0,,,top half,0.64
27,1st Phorm,1stphorm,,1542013,413700,115,99,16,524108,56,4557,247,0.13,0,0,0,,,top half,0.62
28,Barebells,barebells,,264133,234300,29,16,13,500938,27,17273,896,0.13,0,0,0,,,top half,0.6
29,Perfect Bar,perfectbar,,224203,21300,33,24,9,494662,29,14989,1057,0.12,42,100,76,57.0,,top half,0.59
30,Magic Mind,magicmind,,280831,6367,34,33,1,486594,23,14311,187,0.69,0,0,0,,,top half,0.58
31,Naked Nutrition,nakednutrition,,118481,5225,39,31,8,467862,29,11996,358,0.17,197,470,398,53.8,,top half,0.56
32,SEEQ,seeqsupply,,85672,171600,12,10,2,466306,12,38858,679,0.39,73,87,40,65.4,0.0,top half,0.56
33,RYZE,ryzesuperfoods,,1413797,,69,69,0,436013,65,6319,204,0.18,483,310,227,63.4,0.0,top half,0.52
34,Huel,huel,,484548,120800,38,31,7,382276,31,10059,1053,0.04,202,274,165,45.0,,top half,0.46
35,Nurri,drinknurri,,32398,,33,33,0,350205,23,10612,258,0.14,0,0,0,,,top half,0.42
36,MUD/WTR,drinkmudwtr,,382165,,18,18,0,327713,17,18206,341,0.09,89,9,0,62.9,,top half,0.39
37,Form Nutrition,formnutrition,,100518,4478,13,12,1,323305,9,24869,646,0.18,0,0,0,,,top half,0.39
38,Bulk,bulk,,413891,364600,35,7,28,320340,14,9152,586,1.06,313,362,196,47.3,0.0,top half,0.38
39,Javvy,javvycoffee,,237191,344100,50,37,13,261672,44,5233,225,0.09,511,328,68,69.4,,top half,0.31
40,TRIP,trip.drinks,,205653,61000,91,76,15,244703,84,2689,538,0.09,289,137,49,35.3,0.0,top half,0.29
41,Vital Proteins,vitalproteins,,874086,56500,37,25,12,230193,36,6221,684,0.1,19,38,34,96.0,66.7,top half,0.27
42,Elmhurst,elmhurst1925,,65124,1549,28,21,7,216772,22,7741,470,0.12,0,0,0,,,top half,0.26
43,Hiyo,drinkhiyo,,90101,31000,28,26,2,174182,21,6220,122,0.12,10,0,0,50.0,,top half,0.21
44,ALOHA,alohamoment,,115212,10900,19,14,5,139237,15,7328,249,0.17,0,0,0,,,top half,0.17
45,Applied Nutrition,appliednutrition,,181499,,18,18,0,109715,15,6095,250,0.2,3,0,0,16.7,,top half,0.13
