handle,platform,followers,tier,brandCount,posts,views
heathergets_healthy,instagram,23064,micro,8,14,442350
whatsuppwithlucas,instagram,4092,nano,8,3,6990
takingmylifebackat42,instagram,435539,mid,6,14,913790
collectively.cam,instagram,6286,nano,5,4,6967
jecafish,instagram,5749,nano,5,1,0
iamprestonluke,instagram,814809,macro,4,3,534763
ashleyxjonathan,instagram,3805,nano,4,4,27242
tristingracerowell,tiktok,33900,micro,4,2,17743
itsjen.hi,instagram,7018,nano,4,2,1303
ao.streetlyfts,instagram,11927,micro,4,4,0
__balancedwithbritt,instagram,216002,mid,3,3,140499
msbrandiragan,tiktok,520900,macro,3,4,127500
life_with_rachel_,instagram,300404,mid,3,3,120220
lexingtonbrewer,instagram,117204,mid,3,1,38711
lifteatr3peat,instagram,9480,nano,3,4,30724
nycbutglutenfree,instagram,87539,micro,3,1,27018
laurencameronglass,tiktok,232200,mid,3,2,17291
hayls.kitchen,instagram,51614,micro,3,4,6685
dsbookishlife,instagram,11122,micro,3,3,4620
amandapooletv,instagram,3207,nano,3,3,3184
melbrooks21,instagram,2339,nano,3,2,2615
amandalynnruss,instagram,5936,nano,3,4,2195
livingbyjass,instagram,2834,nano,3,3,1847
thesanfordfoodie,instagram,14776,micro,3,3,1667
carolineespinooo,tiktok,1764,nano,3,1,612
