name,handle,adsLive,adsOver60d,pctVideo,pctUgc,creatorViews
Javvy,javvycoffee,511,68,69.4,,261672
RYZE,ryzesuperfoods,483,227,63.4,0.0,436013
Humantra,humantra,465,55,29.9,,2679958
Bulk,bulk,313,196,47.3,0.0,320340
TRIP,trip.drinks,289,49,35.3,0.0,244703
Legion,legion,252,0,56.9,,13697297
Spacegoods,spacegoods,243,5,59.2,,102341
Protein Works,proteinworks,230,205,14.9,,2419185
Huel,huel,202,165,45.0,,382276
Naked Nutrition,nakednutrition,197,398,53.8,,467862
Myprotein,myprotein,179,86,39.0,0.0,3618927
Rheal,rhealsuperfoods,105,0,48.1,50.0,18787
MUD/WTR,drinkmudwtr,89,0,62.9,,327713
London Nootropics,london.nootropics,84,1,78.1,33.3,10148
SEEQ,seeqsupply,73,40,65.4,0.0,466306
