handle,platform,name,followers,tier,posts,views,likes,comments,viewsPerFollower,avgEngagementRate,bestPostUrl
justin.tse,instagram,Justin Tse,143266,mid,1,12714042,127521,80,88.74,48.35,https://www.instagram.com/p/DTRD07AEgZV/
the_adventureaddicts,instagram,Zoe & Kelby Jecker | Adventure Lovers,606374,macro,1,7008662,3116,62,11.56,1.38,https://www.instagram.com/p/DS-c9FBjTF0/
whitneyysimmons,tiktok,Whitney Simmons,3100000,mega,2,5200000,672100,2055,0.84,12.06,https://www.tiktok.com/@whitneyysimmons/video/7639497332714753294
ilonamaher,tiktok,Ilona Maher,4400000,mega,2,3385000,34082,228,0.38,8.19,https://www.tiktok.com/@ilonamaher/video/7641744912576204045
thedonutdaddy,tiktok,Donut Daddy,1900000,mega,1,2400000,76300,1821,1.26,29.87,https://www.tiktok.com/@thedonutdaddy/video/7643827034501762325
llibbygardner,instagram,ELIZABETH GARDNER FERRANTEGENNARO,34757,micro,1,2247238,3367,36,64.66,1.06,https://www.instagram.com/p/DU3b4RuEZen/
jonny.melkus,instagram,JONNY🧊,9167,nano,1,1915650,3207,11,208.97,6.02,https://www.instagram.com/p/DXbZDZVCOLC/
marcosworldnyc,tiktok,Marco Lombardi,267000,mid,2,1735400,26888,172,3.25,2.39,https://www.tiktok.com/@marcosworldnyc/video/7648336076934761759
becs_fitbites,instagram,Rebecca Charles | Vegan Recipes & ADHD Life,12260,micro,9,1446465,2564,425,13.11,8.21,https://www.instagram.com/p/DW6OL5yDB3Q/
laniekristin,tiktok,lanie kristin,274800,mid,6,1382759,444769,626,0.84,14.55,https://www.tiktok.com/@laniekristin/video/7654632244169936158
mychoyceofcoffee,instagram,C H O Y C E 🤎  Coffee & Lifestyle,78083,micro,12,1377287,14669,233,1.47,1.01,https://www.instagram.com/p/DTaui8UEWBe/
vivacious.honey,instagram,Vanessa Moynihan,1125570,mega,1,1333910,61360,166,1.19,2.24,https://www.instagram.com/p/DS2ytNEkcOU/
galvezphysique,instagram,Carlos Galvez,31766,micro,10,1236856,108347,139,3.89,11.89,https://www.instagram.com/p/DWAQELjCICz/
cookingbykylie,instagram,Kylie,176134,mid,2,1056312,27126,295,3.0,1.1,https://www.instagram.com/p/DUoBLUlACLi/
rxmiee,instagram,Rahma Kahsu,90849,micro,3,1000280,9,77,3.67,0.91,https://www.instagram.com/p/DU8FoSeAut-/
rachaela_,instagram,Rachael Alisedaghat,115622,mid,1,806889,3,70,6.98,0.19,https://www.instagram.com/p/DXcHiD4iGtt/
takingmylifebackat42,instagram,Tonya Spanglo,435539,mid,6,737092,13043,616,0.28,0.43,https://www.instagram.com/p/DToLxIUkZKN/
collegeceliackc,instagram,Casey Cromwell | Gluten Free Celiac Foodie,201502,mid,4,727088,15904,176,0.9,1.32,https://www.instagram.com/p/DTxvUXdkawp/
shivani_bafna,instagram,Shivani Bafna,703982,macro,1,717787,11518,74,1.02,1.55,https://www.instagram.com/p/DVkW29JDYcc/
dubocsisters,instagram,Winter & Sky Duboc,122708,mid,2,617343,30516,303,2.52,18.96,https://www.instagram.com/p/DXP0IHTp50P/
mai_yaazi,instagram,Miada Yousfi,484359,mid,1,614727,15872,586,1.27,14.35,https://www.instagram.com/p/DWEY0iGDbYh/
drinksbyallyy,instagram,drinksbyallyy,56739,micro,2,550441,21982,66,4.85,9.62,https://www.instagram.com/p/DVwGAhjj-SM/
bydebbyoliver,instagram,Debora Oliver Benites,517226,macro,1,537049,3,100,1.04,2.53,https://www.instagram.com/p/DV9qdp4Ag3I/
madisonkatewhitbeck,tiktok,MADISON WHITBECK,2977,nano,4,536486,28211,160,45.05,69.83,https://www.tiktok.com/@madisonkatewhitbeck/video/7649010101495368973
iamprestonluke,instagram,Preston Luke,814809,macro,3,534763,5037,136,0.22,0.09,https://www.instagram.com/p/DV8q5dcCCqg/
