hookLine,hookType,format,creatorHandle,tier,creatorFollowers,views,viewsPerFollower,platform,postUrl
Fazit zur FIBO:,Audience Callout,Meme or Text,jonny.melkus,nano,9167,1915650,208.97,instagram,https://www.instagram.com/p/DXbZDZVCOLC/
Let's make a dirty Lani at Buc-ee's.,Tutorial Promise,Recipe or Process,madisonkatewhitbeck,nano,2977,532900,179.01,tiktok,https://www.tiktok.com/@madisonkatewhitbeck/video/7649010101495368973
"So this is the new Lenovo Legion 7A gaming laptop and it's focused on sleek, portable performance...",Product In Action,Taste Test or Review,justin.tse,mid,143266,12714042,88.74,instagram,https://www.instagram.com/p/DTRD07AEgZV/
Okay I just got to Aldi's because I was told that they now have Trubar in stores so let's go see if we can find them.,Curiosity Gap,Taste Test or Review,llibbygardner,micro,34757,2247238,64.66,instagram,https://www.instagram.com/p/DU3b4RuEZen/
Let's make another stacked water of the day.,Curiosity Gap,Recipe or Process,itsjeffreyshouse,micro,21900,472800,21.59,tiktok,https://www.tiktok.com/@itsjeffreyshouse/video/7597885309522611474
Cuando te cruzas con esa persona que antes conocías mejor que nadie y ahora es un desconocido:,POV or Skit Setup,Skit or POV,galvezphysique,micro,31766,666525,20.98,instagram,https://www.instagram.com/p/DWAQELjCICz/
"I always get asked how I make my breakfast bowls, so here is my hyper fixation breakfast.",Tutorial Promise,Recipe or Process,healthyish_mama,mid,295300,5000000,16.93,tiktok,https://www.tiktok.com/@healthyish_mama/video/7636012025134468365
Next time you're in New York City you need to add this stop to your list.,Audience Callout,Day In The Life,aiyanafig,micro,19400,292700,15.09,tiktok,https://www.tiktok.com/@aiyanafig/video/7652048525127208205
Wellness Diaries 5:00 AM WEDNESDAY MORNING,Curiosity Gap,Day In The Life,ainsleyyjade,nano,2504,31900,12.74,tiktok,https://www.tiktok.com/@ainsleyyjade/video/7647282958457408799
@AlaniNutrition has some explaining to do 🐁,Curiosity Gap,Talking Head,wk222222,nano,9195,110400,12.01,tiktok,https://www.tiktok.com/@wk222222/video/7639784238753074462
Remaking every single Ben and Jerry's flavor into a high protein pint.,Challenge,Recipe or Process,ezefitt,micro,17400,198400,11.4,tiktok,https://www.tiktok.com/@ezefitt/video/7632152598878997791
After a day of fasting that first sip just hits different.,Product In Action,Day In The Life,rxmiee,micro,90849,991364,10.91,instagram,https://www.instagram.com/p/DU8FoSeAut-/
"My dad is an oncologist, he's a surgeon...",Storytime,Talking Head,pointswithtems,micro,44000,429600,9.76,tiktok,https://www.tiktok.com/@pointswithtems/video/7638997765476879629
Here are some high fiber snacks I'm bringing on my 11-hour flight.,Audience Callout,Talking Head,forktofuel,nano,3418,32461,9.5,instagram,https://www.instagram.com/p/DW6iqA4DXyi/
LETS MAKE A ALANI MOJITO TO GO,Tutorial Promise,Recipe or Process,drinksbyallyy,micro,56739,535852,9.44,instagram,https://www.instagram.com/p/DVwGAhjj-SM/
Starbucks Brown Sugar Sweet Cream Creamer 🤎,Product In Action,Recipe or Process,mychoyceofcoffee,micro,78083,730729,9.36,instagram,https://www.instagram.com/p/DTaui8UEWBe/
"Atlanta, come with me to my favorite event: Fitness on the Field, located at Mercedes-Benz.",POV or Skit Setup,Skit or POV,thaatsmillie,nano,2339,18500,7.91,tiktok,https://www.tiktok.com/@thaatsmillie/video/7595786563150286110
Some of you have heard of me talk about my little mental health hack.,Curiosity Gap,Talking Head,notyouravg_mom,micro,29872,233265,7.81,instagram,https://www.instagram.com/p/DUzOTkIjtUH/
"Life moves fast, right?",Shock or Pattern Interrupt,Day In The Life,rachaela_,mid,115622,806889,6.98,instagram,https://www.instagram.com/p/DXcHiD4iGtt/
"Come here, you want to help me?",POV or Skit Setup,Skit or POV,kaileyandtrav,micro,50069,343816,6.87,instagram,https://www.instagram.com/p/DYCu_ZivVf6/
let's make a dirty Alani 🍒🥥🍋,Tutorial Promise,Recipe or Process,uurr_dad,nano,9704,61731,6.36,instagram,https://www.instagram.com/p/DTwzQAXgOR3/
First Day of Nursing School DITL,POV or Skit Setup,Day In The Life,illyyvanillyy,nano,1633,9725,5.96,tiktok,https://www.tiktok.com/@illyyvanillyy/video/7644315965760621838
"28+ grams of protein per serving, this is a must make.",Bold Claim,Recipe or Process,cookingbykylie,mid,176134,1048294,5.95,instagram,https://www.instagram.com/p/DUoBLUlACLi/
You just add milk or water.,Product In Action,Recipe or Process,thenyyaedit,micro,29434,173296,5.89,instagram,https://www.instagram.com/p/DX_2PIesIl_/
yo we made it to the Pickle Guys located in the heart of the Lower East Side,Price or Value Reveal,Taste Test or Review,marcosworldnyc,mid,267000,1400000,5.24,tiktok,https://www.tiktok.com/@marcosworldnyc/video/7648336076934761759
Just give me a sign. Meet me in the middle.,Shock or Pattern Interrupt,Other,billverstein,micro,20964,107853,5.14,instagram,https://www.instagram.com/p/DW9XFUjh6rm/
"If you want a high protein arroz con leche without condensed milk, this is exactly how I make it.",Tutorial Promise,Recipe or Process,mealswithrenee,nano,5929,30258,5.1,instagram,https://www.instagram.com/p/DW9PT6LE_Q7/
Every Ramadan we put so much love into cooking and taking care of everyone,Storytime,Tutorial or How-To,drdiabb,micro,20649,105098,5.09,instagram,https://www.instagram.com/p/DU6NPWKjTgM/
girl grip,Shock or Pattern Interrupt,Meme or Text,laniekristin,mid,274800,1300000,4.73,tiktok,https://www.tiktok.com/@laniekristin/video/7654632244169936158
Join me in ringing in the new year with a holiday giveaway.,Product In Action,Talking Head,meganmmckay,nano,1845,8613,4.67,instagram,https://www.instagram.com/p/DS-53vWDm_k/
Busy mom hack I'll never gatekeep.,Audience Callout,Taste Test or Review,shelbigranados,nano,2763,12364,4.47,instagram,https://www.instagram.com/p/DUET5WBEcLK/
Come to work with me As a Business Clerk,POV or Skit Setup,Day In The Life,roswellalien,nano,4153,18400,4.43,tiktok,https://www.tiktok.com/@roswellalien/video/7596150005426064670
Welcome back to Bites on Bites where I share the biteable snacks that I make every single week.,Product In Action,Recipe or Process,carliskitchen_,micro,17000,65600,3.86,tiktok,https://www.tiktok.com/@carliskitchen_/video/7655325754892274974
how that first sip of an ice cold cotton candy alani nu feels in the morning ✨✨✨,POV or Skit Setup,Skit or POV,blairelatham7,micro,13900,51400,3.7,tiktok,https://www.tiktok.com/@blairelatham7/video/7655343237653122317
Here's that salad you ordered.,POV or Skit Setup,Skit or POV,collegeceliackc,mid,201502,727088,3.61,instagram,https://www.instagram.com/p/DTxvUXdkawp/
Jocko's energy drink has a brand new look and a new formula and I'm here to tell you everything that you need to know.,Bold Claim,Taste Test or Review,cody_fernley,nano,8106,28926,3.57,instagram,https://www.instagram.com/p/DYPr9Trpri3/
Sticky Date Chia Pudding ~28g protein | ~15g fiber,Tutorial Promise,Recipe or Process,cosywithnour,nano,3513,12300,3.5,tiktok,https://www.tiktok.com/@cosywithnour/video/7641649159614893334
"Tips de una bariátrica, no cositas para cuidar el cabello, parte uno, tomen notas.",Audience Callout,Talking Head,soyvaneoviedo,nano,7092,24600,3.47,tiktok,https://www.tiktok.com/@soyvaneoviedo/video/7631428944654339359
The chilly rainy weather here in January makes me crave soups so I made the fan favorite broccoli cheddar soup...,Tutorial Promise,Recipe or Process,chelseydavisxo,micro,15991,52830,3.3,instagram,https://www.instagram.com/p/DTRHTe2EtTE/
60g protein breakfast that keeps me full until 2pm,Bold Claim,Recipe or Process,cmrota,nano,6055,18604,3.07,instagram,https://www.instagram.com/p/DVjMgRXjQi8/
